id,(Intercept),conditioncancer
Bacteria;Bacillota_A;Clostridia;Lachnospirales,4.785259511557282,1.4006092446798277
Bacteria;;;,10.34538668287731,0.3830542076076636
;;;,8.556165562232538,0.38352322701014574
Bacteria;Bacillota_A;Clostridia;Clostridiales,3.3575357978008484,-3.29561650157955
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,5.746998389166421,2.765639399973118
Bacteria;Bacillota_A;Clostridia;Peptostreptococcales,2.0948190669259716,2.0382448386941032
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,2.322637201398749,4.411280840811618
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales,7.039015931811484,-0.6632519929697669
Bacteria;Pseudomonadota;;,5.035310814107124,-2.9915638730768377
Bacteria;Bacillota_A;Clostridia;Oscillospirales,4.451218771658308,-0.44203580704337087
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales,2.8150093052110443,-1.2351952562460549
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales,-0.7987595101197316,3.5437027715673306
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales,8.21959734121315,-0.9434111930938289
Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales,-0.17290677688402867,-0.4644754391879693
Bacteria;Pseudomonadota;Gammaproteobacteria;,0.9902027107133757,-0.581363203414456
Bacteria;Patescibacteria;;,1.104849617006956,0.3294944306960149
Bacteria;Bacillota_I;Bacilli_A;Erysipelotrichales,2.883699281619451,-0.4662395450580761
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales,-0.6601300740077426,0.022747857935744742
Bacteria;Bacillota;Bacilli;Staphylococcales,0.10120242394632162,2.8035326782275103
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales,3.9014105766794365,-1.3418701127547408
Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales,5.547958182773863,-5.138052006279871
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales,3.5207420916889256,-2.539798825440709
Bacteria;Bacillota_A;Clostridia;Christensenellales,0.10151963257744878,-0.7389018486494467
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales,3.5648819692252807,-3.370487568625344
Bacteria;Bacillota;Bacilli;Lactobacillales,5.065202917989396,-0.4257962591690241
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales,3.0769242899007154,-2.01803475829131
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales,1.1760463532135064,-1.8134285692855043
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales,-0.7083624853711201,0.4293321631447333
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales,4.680498764352512,-2.8027817839662967
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,5.225860020052588,-4.970060612393669
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales,2.3653920838668245,-3.002774299938822
Archaea;;;,0.8367757548020278,-0.283509304016469
Bacteria;Pseudomonadota;Gammaproteobacteria;Ga0077554,-0.5887950852199961,-0.048587130852001836
Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales,0.22806376005372386,-0.8654459761257218
Bacteria;Deinococcota;Deinococci;Deinococcales,-0.21597905905845993,-0.4214031570135379
Bacteria;Patescibacteria;Microgenomatia;Levybacterales,-0.21138115541351998,0.5444049921254456
Bacteria;Bacillota_A;Clostridia;Tissierellales,-0.20541056278358438,1.3183865252666989
Bacteria;Patescibacteria;Microgenomatia;,2.2978920408934087,0.24245620253371059
Bacteria;Bacillota_C;Negativicutes;Acidaminococcales,0.34313658903443645,1.018329578054484
Bacteria;Bacteroidota;Bacteroidia;B-17B0,-1.1879415399307944,2.0487768425657715
Bacteria;Bacteroidota;Bacteroidia;,-0.24603549966832716,0.2678206567971952
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales,0.10683659933966072,-0.7442188154116587
Bacteria;Bacillota_A;Clostridia;TANB77,0.627099999666143,-0.5651807034448451
Bacteria;Cyanobacteriota;Vampirovibrionia;Gastranaerophilales,-1.1879415399307944,1.4851250907511777
Bacteria;Bacillota_C;Negativicutes;Veillonellales,-0.5887950852199961,1.8290767050151986
Bacteria;Bacillota_I;Bacilli_A;RF39,0.2409398961334337,-0.2894343163721437
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales,-0.1741606994867475,-0.4632215165852507
Bacteria;Bacillota_A;Clostridia;,-1.1879415399307947,1.6803541714910386
Bacteria;Myxococcota;Polyangia;Polyangiales,-0.7987595101197316,0.1613772940477336
Bacteria;Bacillota_C;Negativicutes;Selenomonadales,-1.187941539930794,1.5012773620800688
Bacteria;Acidobacteriota;Terriglobia;Acidoferrales,-0.8295896460851833,0.19220743001318552
Bacteria;Patescibacteria;Paceibacteria;UBA9973,-1.1879415399307944,1.011076342457606
Bacteria;Bacillota_A;Clostridia;UBA1381,-0.8295896460851832,0.1922074300131852
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,-0.04585613645582054,-0.5915260796161774
